CouponTime	Evenness_ITS
1.T1	0.5201552093504916
1.T2	0.14656596856655166
1.T3	0.39616583322049004
1.T4	0.33293729077166245
11.T1	0.7852793814063304
11.T2	0.28100291048282794
11.T3	0.1128602883667031
11.T4	0.2429698856937721
13.T1	0.47031571320008414
13.T2	0.16903024509589312
13.T3	0.5574385498632924
13.T4	0.41478998983652327
15.T0	0.712564055314338
15.T1	0.5909329828846057
15.T2	0.2768036949606194
15.T3	0.3041251991012581
15.T4	0.4405338706608569
17.T1	0.6122962165523436
17.T2	0.3966304559804409
17.T3	0.5884820377787157
17.T4	0.3643664912464859
19.T1	0.5008988846506495
19.T2	0.15710512335143095
19.T3	0.11598190785667448
19.T4	0.1892013073412478
21.T1	0.23570266586377892
21.T2	0.4637614517413205
21.T3	0.5531135557694035
21.T4	0.5658994768455884
22.T0	0.7392335123576921
23.T1	0.1257075679595617
23.T2	0.4458681727571903
23.T4	0.5104124251667573
25.T1	0.272052061370576
25.T2	0.4231731985891286
25.T3	0.5776056610439094
25.T4	0.5134532713665965
27.T1	0.46453293221998876
27.T2	0.662124988519818
27.T3	0.6395554597269634
27.T4	0.5776523103208823
29.T1	0.5732154735901765
29.T2	0.5739044822300847
29.T3	0.39712008954708333
29.T4	0.5653842554927012
3.T1	0.6117811455535657
3.T2	0.3037864944242675
3.T3	0.3610331013623371
3.T4	0.3670088515398709
31.T1	0.45878510547771123
31.T2	0.5366207512705445
31.T3	0.6137549143556762
31.T4	0.44363630321060304
33.T2	0.46586901223878807
33.T3	0.5791090171044879
33.T4	0.4399522316159611
35.T1	0.5021950160620532
35.T2	0.5038259300862837
35.T3	0.5007267078763663
35.T4	0.35300057304498617
37.T1	0.4152271361308568
37.T4	0.4477037853514329
38.T2	0.4385947097426285
39.T1	0.4194180564169722
39.T2	0.2145299849534715
39.T3	0.49232452457571363
39.T4	0.5215010788022035
41.T0	0.611620134576322
41.T1	0.5359522076608189
41.T2	0.6252852502898548
41.T3	0.6222533666122599
41.T4	0.023148476525959506
42.T2	0.5176891055390037
43.T1	0.6206332767792256
43.T3	0.7574549476771812
43.T4	0.6964132077804357
45.T0	0.6959608205125667
45.T1	0.5912287500288999
45.T2	0.10586149544619444
45.T3	0.551309027483841
45.T4	0.6009046576789215
47.T1	0.6074663985575129
47.T2	0.6987261514444958
47.T3	0.6255759796479023
47.T4	0.5605642087203924
49.T1	0.6029474305288826
49.T3	0.6333814914944055
49.T4	0.680035137951652
5.T0	0.6169104601400976
5.T1	0.44358426092113057
5.T2	0.40550652218368594
5.T3	0.5144271250127875
5.T4	0.4612731831895257
50.T2	0.5271876568284496
51.T0	0.2446321034842879
51.T1	0.6358244187809267
51.T2	0.6187017274360694
51.T3	0.6336419796739631
51.T4	0.6413612122763582
53.T1	0.5294121609432001
53.T2	0.4587825242976413
53.T3	0.5575820514154419
53.T4	0.666405187234256
55.T0	0.7649406299607502
55.T1	0.39019427822645697
55.T2	0.6123899730710278
55.T3	0.6079347127844515
55.T4	0.5681252523351983
57.T1	0.523102038918873
57.T2	0.6882395003850966
57.T3	0.7194366893422172
57.T4	0.6131584476960755
59.T1	0.6427239664974367
59.T2	0.5639275843242575
59.T3	0.5767726701428945
59.T4	0.5979703567806643
7.T1	0.609379569192201
7.T2	0.269560315207504
7.T3	0.44875179424196826
7.T4	0.6389856699749156
9.T1	0.4182652523883736
9.T2	0.12725977531525962
9.T3	0.2182221296625374
9.T4	0.35169784236910523
