CouponTime	shannon_entropy
1.T0	3.22513064844675
1.T1	5.729912179732236
1.T3	4.4273596153623895
1.T4	3.376507747063356
10.T3	4.084973067544393
10.T4	3.6414433424785893
11.T0	2.8830320423776716
11.T1	3.1023352116368765
12.T1	6.066571773454286
12.T3	6.091082373434204
13.T1	4.982248538225925
13.T3	3.6153737576565783
13.T4	4.718109311263114
15.T0	3.0325740885339325
15.T3	5.735901931495692
16.T3	3.4568532225292
16.T4	4.102242660126724
17.T3	5.363611937950724
19.T3	3.1657235978418066
2.T1	3.9026989011913225
2.T2	6.042633178513891
2.T3	5.237485479243432
2.T4	5.600443706524771
21.T3	4.876382012916351
21.T4	5.422016143806657
22.T0	3.3451507305730668
22.T2	4.809581209914089
22.T3	5.302307475280461
22.T4	5.5150504667470885
23.T3	5.063465932811404
23.T4	5.715430710070862
24.T1	4.150305632860475
24.T2	4.641497681335114
24.T3	4.710221448898921
24.T4	6.014491768344788
25.T1	3.681024654864525
25.T2	4.24875580058037
25.T3	3.618094162369846
25.T4	4.496080687775617
26.T1	3.666575623303583
26.T4	5.150104863897189
27.T2	4.183230028847431
27.T3	4.497109728236605
27.T4	5.727271175401169
28.T3	5.458940489332062
28.T4	4.970231582129004
29.T3	3.9063524547333888
29.T4	4.888739951233094
3.T4	4.499974631142028
30.T1	4.842660884531976
30.T3	5.266631683659275
30.T4	5.235789505044318
31.T0	3.4903770539013013
31.T2	4.494944025796167
31.T3	4.082911073809117
31.T4	4.826748848484686
32.T2	3.712636122929386
32.T4	4.8670491994805225
33.T4	4.320171217502836
34.T2	3.4289733088618792
34.T4	4.309462373837977
35.T2	4.41246850192876
35.T4	5.510807588972094
36.T1	6.06244731758175
36.T2	6.080869618292151
36.T3	6.022012239952098
36.T4	5.043668261469202
37.T1	3.652611976287414
37.T2	4.467385883932116
37.T4	4.41414315615842
38.T1	4.166855938685246
38.T2	4.662504254444331
38.T3	5.0818502125824345
38.T4	4.118552771050044
39.T2	4.943587329296268
39.T4	4.935762174378093
4.T2	5.88686809881548
40.T2	4.265937368034318
40.T3	4.6872929044606755
40.T4	4.642827939989517
41.T1	4.437094952699433
41.T2	3.7590128321619933
42.T1	4.22802615835021
42.T2	4.274429414554071
42.T3	4.190906065695931
42.T4	3.525180523692131
43.T1	4.094340119834221
43.T2	4.391889506060216
43.T3	4.247437096799632
43.T4	4.3221708838101325
44.T2	5.069349479518315
44.T4	4.658661693689593
45.T0	3.705988412384663
45.T1	3.8008517486919544
45.T3	4.471411415482047
45.T4	5.158910583688972
46.T2	3.3691234455518133
46.T3	4.784340865259476
46.T4	4.797210550081088
47.T1	4.929020095510973
47.T2	4.693812701282712
47.T3	4.553402333539429
47.T4	3.8087998717715807
48.T1	4.923209904465184
48.T2	6.102875289706035
48.T3	5.743172948192616
48.T4	4.216759670669675
49.T1	3.942671968565868
49.T2	4.693010081715084
49.T3	4.75956955699722
49.T4	4.402962785665667
50.T1	3.917760522074044
50.T2	4.207905787369763
50.T3	4.743670884116012
50.T4	4.342481335218754
51.T0	6.051995272307589
51.T1	3.8684856114971082
51.T2	3.7829529546160776
51.T3	5.283318488479285
51.T4	3.422357762971794
52.T1	3.716960219386216
52.T2	4.4555722339291135
52.T3	5.4029728060437865
53.T1	4.1975904321127775
53.T2	4.7217376004576375
53.T3	4.362929791520607
54.T1	3.1569817733830026
54.T2	4.416429034909305
54.T3	4.044641567899709
55.T0	5.960122183459216
55.T1	3.3847601766720983
55.T2	4.632682380844928
56.T1	4.161881959811137
56.T2	5.922923333183954
57.T2	6.036491801397178
57.T3	3.947582297646371
58.T1	6.048109474476506
58.T2	4.525586703985025
58.T4	4.677650863164512
59.T1	3.6172299194922513
59.T2	6.031881278892398
59.T3	5.125881482106129
6.T4	4.568015108862137
60.T1	3.9803606326527317
60.T2	6.090370275821571
60.T3	6.091466298723851
60.T4	5.7291104643697945
7.T2	4.156987705963453
7.T3	4.746135958990172
7.T4	4.319075815034765
8.T1	4.165575155259058
8.T3	3.872197812146283
8.T4	3.91420073826079
9.T1	6.189221137070992
9.T2	5.620642508966387
9.T3	4.9736846398103065
9.T4	4.0483895260788145
