"","phylum","EB29CKDL2","EB30CKDL2","EB31CKDL2","EB32CKDL2","EB33CKDL2","EB34CKDL2","EB35CKDL2","EB36CKDL2","EB37CKDL2","EB38CKDL2","EB39CKDL2","EB40CKDL2","EB41CKDL2"
"1","Acidobacteria",188,78,93,76,32620,65402,30240,101569,93418,27951,40023,45311,31
"2","Actinobacteria",2480,737,1272,1273,975569,710512,503607,1120831,1089088,340235,553580,537297,1454
"3","Aquificae",9,9,11,11,4899,5967,4354,8109,7456,2790,4761,5303,4
"4","Armatimonadetes",37,10,12,12,6109,11070,5476,15448,14588,5173,7657,8733,8
"5","Bacteroidetes",9640,2691,5189,5330,2941647,3512257,2251778,4194067,4154730,1517109,2905037,4375077,2509
"6","Balneolaeota",77,16,26,22,16253,21803,14500,35113,23347,9202,17396,21829,9
"7","Caldiserica",2,0,1,1,306,435,278,519,506,192,281,346,0
"8","Calditrichaeota",15,4,10,9,3064,4854,2995,6231,5609,2186,3403,4063,2
"9","candidate division CPR1",1,2,0,1,424,439,257,515,504,113,193,271,0
"10","candidate division CPR2",2,1,0,0,144,120,109,164,127,66,104,118,0
"11","candidate division CPR3",0,0,0,0,188,213,141,259,250,87,143,141,0
"12","candidate division Hyd24-12",0,0,0,0,61,97,48,85,73,28,57,71,0
"13","candidate division KD3-62",0,0,1,1,147,202,112,290,241,74,111,176,0
"14","candidate division NC10",2,3,6,4,1605,2784,1610,4059,3756,1293,1960,2116,0
"15","candidate division WOR-3",4,0,1,2,1236,1507,923,2059,1883,699,1029,1185,0
"16","candidate division WWE3",8,2,0,5,1998,1866,1445,2535,2738,804,1377,1662,0
"17","candidate division Zixibacteria",21,21,6,10,5998,8248,5279,11012,9983,3775,6120,6843,5
"18","Candidatus Abawacabacteria",0,1,0,0,215,341,172,346,357,100,175,199,0
"19","Candidatus Acetothermia",4,1,1,0,521,713,430,1047,893,377,505,623,0
"20","Candidatus Adlerbacteria",3,1,0,0,557,520,340,669,957,194,275,388,1
"21","Candidatus Amesbacteria",2,0,0,0,385,318,247,465,485,153,265,308,0
"22","Candidatus Aminicenantes",16,3,5,9,2808,5418,2554,7151,5785,2459,2902,3423,0
"23","Candidatus Andersenbacteria",0,0,0,0,273,242,144,310,338,92,163,175,0
"24","Candidatus Atribacteria",3,3,2,1,729,935,639,1356,1116,441,647,700,0
"25","Candidatus Azambacteria",1,0,1,0,477,542,393,719,732,198,443,411,0
"26","Candidatus Beckwithbacteria",0,0,0,0,579,535,477,809,698,293,533,777,0
"27","Candidatus Berkelbacteria",6,2,1,0,1074,1281,900,1624,1665,519,859,960,1
"28","Candidatus Blackburnbacteria",0,0,1,0,288,198,157,331,280,99,173,203,0
"29","Candidatus Brennerbacteria",0,0,0,0,5,8,2,8,3,5,4,9,0
"30","Candidatus Buchananbacteria",4,0,0,0,878,1043,601,1254,1257,497,713,1000,1
"31","Candidatus Campbellbacteria",3,0,0,1,617,618,391,769,796,230,494,652,0
"32","Candidatus Chisholmbacteria",1,0,0,0,136,160,120,231,272,83,116,177,0
"33","Candidatus Cloacimonetes",15,6,9,6,4876,6268,4018,7755,7292,2787,4548,5208,2
"34","Candidatus Coatesbacteria",2,0,6,0,337,537,375,720,667,284,394,523,0
"35","Candidatus Collierbacteria",1,0,1,0,274,287,176,372,339,117,188,254,1
"36","Candidatus Colwellbacteria",3,0,0,0,158,195,148,298,299,67,119,173,0
"37","Candidatus Curtissbacteria",5,2,1,2,852,930,713,1200,1263,434,675,860,0
"38","Candidatus Dadabacteria",1,4,1,0,964,2173,1037,2685,2958,934,1331,1508,3
"39","Candidatus Daviesbacteria",1,0,1,3,723,735,546,1032,1088,363,619,613,1
"40","Candidatus Delongbacteria",2,0,1,0,594,652,507,825,816,289,428,499,0
"41","Candidatus Desantisbacteria",20,0,0,2,976,1362,865,1793,1738,655,990,1136,0
"42","Candidatus Doudnabacteria",6,0,1,4,914,1036,822,1364,1531,506,773,878,0
"43","Candidatus Edwardsbacteria",0,0,0,0,4,10,10,16,16,0,6,9,0
"44","Candidatus Eisenbacteria",1,3,0,3,472,1012,381,1278,1069,310,436,512,0
"45","Candidatus Falkowbacteria",10,0,3,0,1300,1313,772,1657,1643,523,905,1037,1
"46","Candidatus Firestonebacteria",1,0,0,0,338,487,346,599,593,271,363,415,0
"47","Candidatus Fischerbacteria",3,1,1,2,490,925,519,1110,1141,432,606,737,1
"48","Candidatus Fraserbacteria",0,0,0,1,247,403,213,600,507,175,276,331,0
"49","Candidatus Giovannonibacteria",4,3,1,4,1893,1111,886,1526,1742,500,1041,1222,0
"50","Candidatus Glassbacteria",1,0,2,1,488,1060,449,1288,1172,460,652,690,2
"51","Candidatus Gottesmanbacteria",14,2,7,8,2672,2807,2181,3870,4187,1254,2133,2564,2
"52","Candidatus Gracilibacteria",0,0,0,0,345,275,169,323,311,111,164,184,0
"53","Candidatus Handelsmanbacteria",10,3,7,2,1428,3305,1481,4739,3697,1268,1796,1968,0
"54","Candidatus Harrisonbacteria",1,1,1,0,241,249,158,327,332,118,175,178,0
"55","Candidatus Hydrogenedentes",4,1,1,0,477,744,444,1025,937,365,584,744,0
"56","Candidatus Jacksonbacteria",0,0,0,0,41,42,15,62,36,13,30,22,0
"57","Candidatus Jorgensenbacteria",3,0,0,0,686,691,563,1067,927,345,493,592,0
"58","Candidatus Kaiserbacteria",18,4,10,5,5051,4419,2665,5629,6895,1677,2831,3660,2
"59","Candidatus Kerfeldbacteria",0,0,0,1,190,210,128,273,301,98,131,166,0
"60","Candidatus Komeilibacteria",2,0,1,0,380,486,332,582,643,225,313,400,0
"61","Candidatus Kryptonia",4,1,2,3,1613,2171,1597,2973,2581,1037,1700,1881,2
"62","Candidatus Kuenenbacteria",0,0,1,2,495,478,362,572,584,226,332,413,1
"63","Candidatus Latescibacteria",5,2,6,0,1793,2910,1494,3662,3220,1209,1827,2132,0
"64","Candidatus Levybacteria",9,1,3,4,1219,1221,978,1738,2307,606,1047,1081,1
"65","Candidatus Lindowbacteria",2,0,1,0,318,373,269,593,513,224,318,397,0
"66","Candidatus Liptonbacteria",4,1,0,0,423,480,339,682,834,232,341,416,0
"67","Candidatus Lloydbacteria",1,0,0,0,495,485,332,594,744,194,340,424,0
"68","Candidatus Magasanikbacteria",14,5,5,2,2917,3236,2342,3997,4368,1367,2426,2716,2
"69","Candidatus Margulisbacteria",0,2,3,1,757,943,775,1196,1224,386,729,797,0
"70","Candidatus Marinimicrobia",29,9,6,15,5995,7474,6234,10959,9830,4032,6788,7390,3
"71","Candidatus Microgenomates",1,0,1,1,595,522,404,781,841,314,436,482,1
"72","Candidatus Moranbacteria",8,2,7,0,2051,1696,1333,2229,2483,682,1270,1490,0
"73","Candidatus Nealsonbacteria",1,0,0,2,573,626,577,966,904,296,559,519,1
"74","Candidatus Niyogibacteria",0,0,1,0,92,87,81,154,149,58,102,92,0
"75","Candidatus Nomurabacteria",18,4,7,2,3667,3559,2803,4621,5443,1537,2613,3146,0
"76","Candidatus Omnitrophica",65,43,24,21,14364,20320,11959,25424,26578,9077,14174,16662,12
"77","Candidatus Pacebacteria",3,4,1,3,833,777,615,1075,1249,380,553,668,1
"78","Candidatus Parcubacteria",8,4,6,6,4788,4160,2817,5278,6732,1763,3036,3780,0
"79","Candidatus Peregrinibacteria",10,4,8,3,2602,3304,1890,3857,4356,1342,2127,2657,1
"80","Candidatus Poribacteria",0,0,0,0,31,86,58,138,129,61,130,133,0
"81","Candidatus Portnoybacteria",1,0,0,0,246,235,173,355,317,143,160,216,1
"82","Candidatus Raymondbacteria",0,0,0,0,14,19,12,34,27,7,8,9,0
"83","Candidatus Riflebacteria",3,2,0,0,438,641,317,781,623,237,339,401,0
"84","Candidatus Roizmanbacteria",3,0,1,0,1334,1387,924,1704,1911,588,952,1114,0
"85","Candidatus Rokubacteria",17,8,8,8,2704,4857,2436,9247,6244,2062,2910,3261,2
"86","Candidatus Ryanbacteria",2,0,0,0,248,310,247,455,468,169,208,222,40
"87","Candidatus Saccharibacteria",10,1,6,7,2867,3996,2080,4846,11259,1540,2077,2622,2
"88","Candidatus Schekmanbacteria",4,0,2,0,1433,1827,1183,2473,2302,828,1339,1617,0
"89","Candidatus Shapirobacteria",1,0,1,0,254,196,147,314,258,65,145,180,0
"90","Candidatus Spechtbacteria",0,0,0,0,261,322,233,379,385,143,252,316,0
"91","Candidatus Staskawiczbacteria",1,0,2,0,537,520,365,796,752,198,362,452,0
"92","Candidatus Sungbacteria",2,0,0,1,614,758,447,979,1034,334,489,600,0
"93","Candidatus Tagabacteria",1,0,0,0,155,174,113,231,246,77,139,165,0
"94","Candidatus Taylorbacteria",5,0,1,0,1000,968,648,1216,1639,429,762,850,0
"95","Candidatus Tectomicrobia",13,11,10,9,5107,10441,5148,16537,11488,4202,6070,7421,3
"96","Candidatus Terrybacteria",0,0,2,0,474,480,343,719,610,256,345,456,0
"97","Candidatus Uhrbacteria",6,4,3,1,1992,2215,1447,3036,3095,970,1624,1841,0
"98","Candidatus Veblenbacteria",0,0,0,0,5,9,3,5,2,3,0,3,0
"99","Candidatus Vogelbacteria",5,0,0,1,547,543,338,577,688,202,356,464,0
"100","Candidatus Wallbacteria",1,0,0,1,300,341,247,450,459,196,330,347,1
"101","Candidatus Wildermuthbacteria",1,0,2,0,693,644,526,933,943,342,568,686,0
"102","Candidatus Wirthbacteria",0,0,0,0,224,238,144,344,352,127,237,185,0
"103","Candidatus Woesebacteria",14,3,3,6,5771,5194,5031,8310,7750,2338,4454,4853,5
"104","Candidatus Wolfebacteria",1,0,2,0,245,237,156,320,340,88,156,167,0
"105","Candidatus Woykebacteria",5,0,4,1,645,769,538,1121,1089,329,547,614,0
"106","Candidatus Yanofskybacteria",17,2,5,3,1867,1924,1535,2603,2855,883,1466,1691,0
"107","Candidatus Yonathbacteria",0,0,0,0,351,445,247,542,617,148,221,304,0
"108","Candidatus Zambryskibacteria",0,0,0,0,238,271,165,322,470,127,227,228,0
"109","Chlamydiae",44,11,25,17,12903,14288,10133,19547,20721,6828,10208,12000,1166
"110","Chlorobi",53,25,30,22,12055,15801,10592,20651,19374,7381,11730,14095,16
"111","Chloroflexi",173,139,104,81,43882,79634,35649,111491,98991,36767,42279,49800,36
"112","Chrysiogenetes",6,1,1,2,1143,1444,958,2067,1882,706,1033,1204,0
"113","Cyanobacteria",5276,1222,1519,1499,677040,1523197,1093421,1526793,1004748,228808,490427,432499,519
"114","Deferribacteres",11,4,7,5,3541,4718,3270,6135,5881,2230,3694,4150,0
"115","Deinococcus-Thermus",30,14,23,18,9593,14306,8015,19846,19524,6356,10259,11790,7
"116","Dictyoglomi",2,1,1,0,521,593,411,811,744,264,432,530,0
"117","Elusimicrobia",55,20,17,12,9361,13089,8362,17305,16602,5958,9377,10971,10
"118","Fibrobacteres",16,6,10,6,3274,3715,2457,4974,4482,1753,2997,3380,7
"119","Firmicutes",1452,497,584,510,343421,397388,299092,576921,507059,201641,315621,356400,818129
"120","Fusobacteria",47,22,11,11,8891,11087,7375,12684,12393,4581,7152,8757,21
"121","Gemmatimonadetes",83,46,18,31,14020,32424,12884,47206,37184,10771,15415,18180,16
"122","Ignavibacteriae",62,32,26,38,12408,19436,10872,22638,22450,7730,12371,15669,9
"123","Kiritimatiellaeota",9,4,1,3,1419,2618,1320,2962,3808,1349,2228,2812,0
"124","Lentisphaerae",78,60,46,39,22554,40218,24124,54580,77104,35426,49318,55015,17
"125","Nitrospinae",10,10,7,4,2768,5147,2944,10179,6179,2797,3326,4082,4
"126","Nitrospirae",97,38,51,32,20956,35117,18268,44313,41110,13772,20706,25248,38
"127","Planctomycetes",744,436,372,327,143103,321956,138004,423390,427742,180224,265078,288017,117
"128","Proteobacteria",36831,9385,14168,15155,10015519,9174773,6901712,12692761,11110692,4209985,7649820,8765857,854548
"129","Spirochaetes",149,57,64,61,33323,42769,27319,54879,51706,20544,31242,36003,37
"130","Synergistetes",17,6,7,8,4235,5059,3464,7151,6418,2396,3829,4385,2
"131","Tenericutes",71,14,23,13,13677,12483,10049,16467,15116,6319,10304,11549,13
"132","Thermodesulfobacteria",6,2,5,4,2239,3233,2339,4252,3924,1531,2326,2783,2
"133","Thermotogae",29,13,5,10,5686,7187,5075,9601,8813,3435,5282,6103,5
"134","Verrucomicrobia",1196,263,640,581,348367,735985,552834,1072919,1932518,644769,1177006,1506276,381
"135",NA,1629,385,648,690,398100,446313,342397,593509,548552,207490,392675,479886,1607
